FILENAME,AUTHOR,TITLE,DATE,,,,,,,
Pickle,"Smollett, Tobias George","adventures of Peregrine Pickle. In which are included, Memoirs of a lady of quality. In four volumes. ...",1768-69,,,,,,,
Random1,"Smollett, Tobias George",adventures of Roderick Random.,[1768],,,,,,,
Random2,,,,,,,,,,
Reverie1,"Johnstone, Charles","reverie: or, a flight to the paradise of fools. Published by the editor of adventures of a guinea. In two volumes. É",1767,,,,,,,
Reverie2,,,,,,,,,,
Shandy1,"Sterne, Laurence","life and opinions of Tristram Shandy, gentleman. ...",1760,,,,,,,
Shandy2,,,,,,,,,,
Simple2,"Fielding, Sarah","adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. ...",1761,,,,,,,
TheodosiusConstantina,"Langhorne, John","Letters that passed between Theodosius and Constantia, after she had taken the veil. Now first published from the original manuscripts.",1763,,,,,,,
TomFool,"Stevens, George Alexander",history of Tom Fool. ...,1760,,,,,,,
VicarofWakefield,"Goldsmith, Oliver",Vicar of Wakefield: a tale. Supposed to be written by himself.,1766,,,,,,,
